"県下","けんか","in the prefecture, prefectural"
"誘導","ゆうどう","guidance, leading, induction, introduction, incitement, inducement"
"強大","きょうだい","mighty, powerful"
"粋","いき","chic, smart, stylish, tasteful, refined, sophisticated; understanding, considerate, thoughtful, sensible; familiar with worldly pleasures (esp. sexual relations, geisha districts and red-light districts)"
"町人","ちょうにん, まちにん","chōnin (Edo-period social class of town-dwelling commoners, esp. landowning merchants), townspeople, townsfolk, tradespeople"
"発進","はっしん","departure (from a base), takeoff, launch; starting (to move; of a car), start, moving off"
"何なのか","なんなのか, なになのか","what is it (that), the meaning of something, what something is about"
"祖先","そせん","ancestor"
"定まる","さだまる","to become settled, to be fixed"
"規程","きてい","official regulations, inner rules"
"お昼","おひる","lunch; noon, midday; daytime; waking up, getting up, rising"
"兎角","とかく","(doing) various things, (doing) this and that; being apt to, being prone to, tending to; at any rate, anyhow, anyway; all sorts of (negative things), various; things that do not exist, rabbit horns"
"","さえあれば","if only (you) have, as long as (you) have, whenever (you) have"
"彩る","いろどる","to colour, to color, to paint; to apply make-up; to decorate, to garnish, to adorn, to add flair"
"瑠璃","るり","lapis lazuli; lapis lazuli (color); beryl; mall blue passerine bird (esp. the blue-and-white flycatcher and the Siberian blue robin, but also the red-flanked bluetail); glass"
"感慨","かんがい","deep emotion, strong feelings"
"用心深い","ようじんぶかい","careful, cautious, wary, watchful, vigilant, prudent"
"剃る","そる, する","to shave"
"面持ち","おももち","expression, look, countenance, face"
"作り出す","つくりだす","to manufacture, to produce, to raise (crops); to invent, to dream up, to create"
"","ハンドバッグ, ハンドバック","handbag, purse"
"科学者","かがくしゃ","scientist"
"何時間","なんじかん","how many hours"
"思惑","おもわく","expectation, anticipation, prediction, forecast, calculations; purpose, intention, motive, ulterior motive; others' opinions of one; speculation"
"大洋","たいよう","ocean"
"お守り","おまもり","charm, amulet, talisman"
"小石","こいし","pebble, small stone"
"見た目","みため","appearance, look"
"誓って","ちかって","surely, upon my word, by Jove; (with neg) by no means, never"
"領地","りょうち","territory, dominion, grounds (e.g. school)"
"対処","たいしょ","dealing with, coping with"
"雑草","ざっそう","weed"
"日の出","ひので","sunrise"
"爆撃","ばくげき","bombing (raid)"
"柏木","かしわぎ","oak tree; imperial palace guard"
"美術","びじゅつ","art, fine arts"
"","クイーン, クィーン, クイン","queen; queen; queen (chess piece)"
"刺さる","ささる","to stick into (of something with a sharp point), to prick, to pierce, to get stuck (in), to lodge (in); to resonate emotionally, to move"
"傲慢","ごうまん","haughty, arrogant, insolent, proud, overbearing"
"","ハンター","hunter"
"水準","すいじゅん","level, standard; water level"
"制作","せいさく","work (film, book); production, creation, turning (something) out, development"
"茶屋","ちゃや","teahouse, (Edo period) rest stop; (geisha) teahouse, establishment where patrons are entertained by geisha; tea house (that sells tea), tea dealer"
"商","しょう","quotient; business, merchant, dealer; second degree (of the Japanese and Chinese pentatonic scale); Shang dynasty (of China; approx. 1600-1046 BCE), Yin dynasty"
"葡萄","ぶどう, ブドウ, えび","grape, grapevine"
"神官","しんかん, かんづかさ, かみづかさ, かむづかさ, しんし","Shinto priest"
"見分ける","みわける","to distinguish, to recognize, to recognise, to tell apart, to differentiate"
"麻薬","まやく","narcotic, drug, dope"
"男らしい","おとこらしい","manly, masculine, like a man"
"料金","りょうきん","fee, charge, fare"
"重役","じゅうやく, おもやく","(company) director, executive, top management; important post, role with heavy responsibilities"
"煮える","にえる","to be boiled, to be cooked"
"正当","せいとう","just, justifiable, right, due, proper, equitable, reasonable, legitimate, legal, lawful"
"無期","むき","indefinite, unlimited; life imprisonment"
"父母","ふぼ, ちちはは, ててはは, かぞいろは, ぶも, かぞいろ","father and mother, parents"
"並びに","ならびに","and (also), both ... and, as well as"
"鼓動","こどう","beat, palpitation, pulsation, throbbing"
"","ぞろぞろ, ゾロゾロ","in a crowd, in droves, in a stream, in succession; crawling (of insects), swarming; dragging (e.g. along the ground), trailing, stretching out"
"宴会","えんかい","party, banquet, reception, feast, dinner"
"万歳","ばんざい, バンザイ","banzai, hurray, hurrah, hooray; something to cheer about, something worthy of celebration; giving up, throwing one's hands up; eternal life and prosperity"
"何卒","なにとぞ, なにそつ","please, kindly, I beg of you, if it pleases you; by all means, without fail"
"他方","たほう","one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the other hand"
"砲弾","ほうだん","shell, cannonball"
"","ゆったり","comfortable, easy, calm, relaxed; loose, spacious"
"面々","めんめん","every person, each one, everybody"
"束ねる","たばねる, つかねる","to tie up in a bundle (e.g. straw, hair, bills, letters), to bundle, to sheathe; to govern, to manage, to control, to administer; to fold (one's arms), to put together (one's hands)"
"仙台","せんだい","Sendai (city in Miyagi)"
"途","と, ど","way, route"
"逃走","とうそう","flight, desertion, escape"
"","ストーブ, ストーヴ","(room) heater, stove"
"云々","うんぬん","and so on, and so forth, et cetera, and such, and the like; comment, criticism"
"高地","こうち","high ground, plateau, heights, highlands"
"留学","りゅうがく","studying abroad; (temporarily) studying at another school (to learn a specific skill)"
"応対","おうたい","dealing with (people, customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving"
"江戸時代","えどじだい","Edo period (1603-1868)"
"銘々","めいめい","each, individual"
"","コーナー, コーナ","corner, bend, turn; segment (within a radio or TV program), session, column (newspaper, etc.); area, department, section"
"実体","じったい","substance, essence, entity, subject, content, reality, true form"
"鷲","わし, ワシ","eagle (Accipitridae family)"
"煙る","けむる, けぶる","to smoke (e.g. fire), to billow smoke, to smoulder, to smolder; to be hazy, to look dim"
"跨ぐ","またぐ","to step over, to step across, to stride over, to stride across, to cross; to stretch over, to span, to bridge, to saddle, to straddle"
"確立","かくりつ","establishment, settlement"
"紙幣","しへい","paper money, note, bill"
"","レーザー, レーザ","laser"
"","エプロン","apron; apron (airport); apron (stage)"
"体質","たいしつ","constitution (physical), physical make-up, predisposition (to disease), disposition, tendency; character (of a group, organization, etc.), innate characteristics, make-up, nature, culture"
"宣告","せんこく","sentence, verdict, pronouncement"
"香水","こうすい","perfume, scent"
"祖","そ","ancestor, forefather, progenitor; originator, pioneer, inventor, founder; grandfather"
"著しい","いちじるしい, いちぢるしい","striking, remarkable, considerable"
"温い","ぬるい","lukewarm, tepid; lenient"
"心地よい","ここちよい, ここちいい","comfortable, pleasant"
"将兵","しょうへい","officers and men"
"至難","しなん","most difficult, next to impossible"
"当たり","あたり","hit; success; guess, prediction; affability, friendliness; sensation, touch; bruise (on fruit); situation in which a stone or chain of stones may be captured on the next move; bite (of a fish on a hook), strike; per, each"
"課する","かする","to impose (a tax, fine, etc.), to levy, to assign (a task, duty, etc.), to give, to set"
"疾走","しっそう","sprint, dash, scampering"
"仮説","かせつ","hypothesis, supposition, assumption, tentative theory"
"次元","じげん","dimension; perspective, point of reference, level (of something)"
"弱点","じゃくてん","weak point, weakness, shortcoming, defect, flaw, sore spot, tender spot"
"歩き回る","あるきまわる","to walk about, to walk around, to walk to and fro, to pace around, to wander"
"解明","かいめい","elucidation, explication, explaining, unravelling, clarification, understanding"
"心情","しんじょう","sentiment, emotions, one's feelings, one's heart"
"監禁","かんきん","confinement, imprisonment, incarceration"
"外交","がいこう","diplomacy; selling (e.g. door-to-door), canvassing"
"川岸","かわぎし, かがん","riverbank, riverside"
"題","だい","title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)"
"無残","むざん","cruel, merciless, atrocious, ruthless, cold-blooded; pitiful, tragic, horrible, miserable; breaking a precept without shame"
"装飾","そうしょく","ornament, decoration"
"最上","さいじょう","highest (e.g. floor), top; best, finest, supreme, highest (quality)"
"和歌","わか","waka, classic Japanese poem, esp. a tanka, often 31 morae"
"真っ青","まっさお","deep blue, bright blue; ghastly pale, pallid, white as a sheet"
"召喚","しょうかん","summons, subpoena, citation; summoning (a spirit, demon, etc.), evocation, invocation"
"いい加減","いいかげん","irresponsible, perfunctory, careless; lukewarm, half-baked, halfhearted, vague; (already) enough; considerably, quite, rather, pretty"
"","しゃがむ","to squat, to crouch"
"","カラー","color, colour; color, character, characteristics, atmosphere; coloring (one's hair), dyeing"
"観光客","かんこうきゃく","tourist"
"花束","はなたば","bunch of flowers, bouquet"
"達成","たっせい","achievement, attainment, accomplishment, realization"
"度胸","どきょう","courage, bravery, pluck, nerve, grit, guts"
"一息","ひといき","one breath; time of one breath; pause, break, rest, breather; (doing in) one go, doing without stopping; small amount of effort, a little more effort"
"対岸","たいがん","opposite shore"
"長居","ながい","long visit, overstaying"
"","スプーン, スプン","spoon"
"操","みさお, そう","fidelity, honour, honor, constancy; chastity (of a woman), faithfulness (e.g. to one's husband)"
"","ガード","guarding, guard"
"如何にもならない","どうにもならない","hopeless, futile, no use, beyond help, cannot be done"
"全滅","ぜんめつ","total destruction, complete destruction, annihilation, being wiped out; total defeat, complete failure"
"法規","ほうき","laws and regulations, legislation"
"中学校","ちゅうがっこう","junior high school, middle school, lower secondary school"
"申し訳","もうしわけ","apology, excuse"
"","すっぽり, ずっぽり, ずっぽし","entirely, completely; cleanly, snugly"
"日米","にちべい","Japan and the United States, Japanese-American"
"大戦","たいせん","great war, great battle; world war"
"空白","くうはく","blank space (in a document); blank, void, gap, vacuum; whitespace"
"","すげー, すげぇ, すっげー, すんげー, すげえ, スゲー, すっげぇ, すっげえ, すんげぇ, スゲェ, スゲエ, スッゲー, スッゲェ, スッゲエ, すげい, スゲイ, すんげえ, スンゲー, スンゲェ","incredible, unbelievable, terrific, impressive"
"合格","ごうかく","passing (an exam), pass, success, passing grade; meeting (specifications, standards, etc.), passing (inspection), qualification, being found eligible"
"祖国","そこく","homeland, motherland, fatherland, native country"
"干渉","かんしょう","interference, intervention, meddling"
"性的","せいてき","sexual (i.e. relating to biological sex); sexual (relations, attraction, abuse, etc.)"
"退治","たいじ","extermination, elimination, eradication, destruction, suppression, subjugation, getting rid of, stamping out, wiping out, rooting out; renouncing worldly desires (in order to concentrate on Buddhist teachings); curing (an illness)"
"","ファッション","fashion"
"経歴","けいれき","personal history, background, career"
"一直線","いっちょくせん","straight line"
"解散","かいさん","breaking up (a meeting, gathering, etc.), dispersal (e.g. of a crowd); dissolution (of a company, organization, etc.), winding-up, disbandment, split-up; dissolution (of the Diet, Parliament, etc.)"
"川上","かわかみ","upper reaches of a river, upstream"
"贈り物","おくりもの","present, gift"
"","がっしり","firmly, solidly, sturdily, strongly, toughly"
"","タレント","(TV or radio) entertainer, television personality, radio personality; talent, skill; talent (ancient unit of weight and currency)"
"","サロン","salon, saloon, reception room"
"","ぐっすり, グッスリ","soundly (sleeping), fast (asleep)"
"失神","しっしん","faint, swoon, losing consciousness"
"一月","ひとつき, いちげつ","one month"
"仄か","ほのか","faint, indistinct, dim, vague, subtle, delicate"
"","カルテ","patient's chart, clinical records; record (e.g. student, equipment maintenance, etc.)"
"講演","こうえん","lecture, address, speech"
"物資","ぶっし","goods, materials, commodities, resources, supplies"
"出撃","しゅつげき","sortie, sally, attack"
"申し訳ありません","もうしわけありません","I'm sorry, (it's) inexcusable; thank you very much (for help, etc.)"
"騒がしい","さわがしい","noisy, boisterous; turbulent (era, etc.), troubled"
"順に","じゅんに","in order, in turn, one by one"
"巻","まき","roll (e.g. of cloth); winding (e.g. watch); volume (of book); speeding up; heel (of a Japanese sandal)"
"乾杯","かんぱい","cheers, bottoms-up, prosit; toast, drink (in honor or celebration of someone or something); drinking one's glass dry"
"不能","ふのう","impossible, incapable (of doing), unable (to do); incompetence, inability; impotence; having no solution (of an equation)"
"碌な","ろくな, ロクな","satisfactory, decent, good, proper, respectable"
"一億","いちおく","100,000,000, one hundred million"
"垂らす","たらす","to dribble, to spill; to suspend, to hang down, to slouch, to dangle"
"お詫び","おわび","apology"
"殺意","さつい","intent to kill, intent to murder, urge to kill, murderous impulse"
"諺","ことわざ","proverb, saying, aphorism, maxim"
"暈ける","ぼける","to be faded, to be hazy, to be blurred, to be out of focus"
"熱気","ねっき","heat, hot air; enthusiasm, excitement, fervour, fervor, heated atmosphere; fever"
"吐き気","はきけ, はきげ","nausea, feeling like throwing up, feeling sick"
"気質","きしつ, かたぎ","disposition, temperament, nature, mentality, spirit, character, trait, turn of mind"
"本土","ほんど","mainland, the country proper; native country, country where one was born; pure land, Buddha realm"
"今宵","こよい","this evening, tonight"
"","ブラウス, ブルーズ","blouse"
"弁える","わきまえる","to discern (e.g. right from wrong), to discriminate, to distinguish; to know (manners, one's place, etc.), to understand, to bear in mind"
"拘束","こうそく","restriction, restraint, binding, constraint"
"根源","こんげん","root, source, origin, cause"
"初対面","しょたいめん, はつたいめん","first meeting, first interview with"
"１１日","じゅういちにち","11th day of the month; 11 days"
"三十日","みそか, つごもり, みそ, かいじつ","last day of the month"
"木の葉","このは, きのは","leaf (of a tree), tree leaves, foliage"
"承る","うけたまわる","to hear, to be told, to know; to receive (order), to undertake, to comply, to take (a reservation, etc.)"
"絵を描く","えをかく, えをえがく","to paint a picture, to draw a picture"
"寿司","すし","sushi, range of dishes made with vinegared rice combined with fish, vegetables, egg, etc."
"代々","だいだい","for generations, from generation to generation, generation after generation, through the ages"
"細か","こまか","small, fine, detailed, stingy"
"窮屈","きゅうくつ","narrow, tight, cramped; formal, stiff, strict, ceremonious, rigid; constrained, uncomfortable; tight (e.g. finances)"
"前線","ぜんせん","(weather) front; front line, the front, battlefront, forward area"
"喜劇","きげき","comedy"
"安らか","やすらか","peaceful, tranquil, calm, restful"
"核","かく","stone (of a fruit), pit, pip; core (of an organization, team, etc.), nucleus, heart; nuclear weapons; nucleus (of an atom); nucleus (of a cell); condensation nucleus; (planetary) core; ring (in a cyclic compound); kernel, core; nucleus (of a cultured pearl)"
"感ずる","かんずる","to feel, to sense, to experience; to be moved (by), to be touched (by), to be impressed (by), to respond (to); to become infected with (an illness), to catch"
"割と","わりと","comparatively, relatively, fairly, rather, pretty, unexpectedly"
"鮮明","せんめい","vivid, clear, distinct"
"鳥居","とりい","torii (Shinto shrine archway)"
"訛り","なまり","accent (of one's speech); dialect, provincialism, patois; corrupted form (e.g. of word), mispronunciation"
"全集","ぜんしゅう","complete works, complete collection, complete series"
"風呂場","ふろば","bathroom"
"休日","きゅうじつ","holiday, day off"
"生地","きじ","cloth, fabric, material, texture; dough, batter; inherent quality, one's true character, one's true colours; unglazed pottery; skin with no make-up; uncoated metal"
"個室","こしつ","single (room), room for one, one's own room, private room, private compartment; private room (in a restaurant, etc.), private dining room; (toilet) stall"
"巴","ともえ","tomoe, heraldic design composed of two or more interlocked comma-shaped figures"
"片目","かため","one eye, one of one's eyes; being blind in one eye, person who is blind in one eye"
"","ゲル","gel"
"","ハッチ","hatch"
"莫斯科","モスクワ","Moscow (Russia)"
"意向","いこう","intention, idea, inclination, wish"
"格闘","かくとう","(hand-to-hand) fight, grapple, scuffle, tussle; struggling (with a problem, task, etc.), grappling, wrestling, getting to grips (with)"
"充実","じゅうじつ","fullness, completeness, perfection, substantiality; enhancement, improvement, enrichment, upgrading; replenishment, repletion"
"若干","じゃっかん, そこばく, そくばく, そこば","some, few, a number of, a little (bit); somewhat, to a certain extent; many, a lot"
"丹念","たんねん","painstaking, careful, meticulous, scrupulous, detailed, elaborate"
"開戦","かいせん","outbreak of war, starting a war"
"共有","きょうゆう","joint ownership, co-ownership, sharing (e.g. a viewpoint); sharing (files, devices on a network, posts on social media, etc.)"
"孤立","こりつ","isolation, being alone, being friendless"
"手遅れ","ておくれ","being too late, losing one's final chance"
"慎む","つつしむ","to be careful, to be discreet; to do in moderation, to refrain (from overdoing), to abstain; to be reverent; to be purified, to be chaste"
"因縁","いんねん, いんえん","fate, destiny; connection, tie, bond, origin; pretext, justification; hetu and prataya (direct causes and indirect conditions, which underlie the actions of all things)"
"憤慨","ふんがい","indignation, resentment"
"初老","しょろう","past middle age, nearing old age, near-elderly; age 40"
"主として","しゅとして","mainly, chiefly, primarily, for the most part"
"供養","くよう","memorial service for the dead, holding a service"
"大概","たいがい","generally, mainly, usually, normally, mostly, for the most part; nearly all, almost all, most; gist, summary, outline, main idea; staying within bounds, not overdoing (something), not getting carried away, not going too far, being moderate; probably, perhaps, in all likelihood; considerably, greatly, really"
"奉仕","ほうし","service, ministry, attendance, church work; offering goods at a reduced price, providing a service for free"
"落胆","らくたん","discouragement, despondency, dejection, disappointment"
"延々","えんえん","endlessly, continuously, (going) on and on; meandering, winding, sinuous, serpentine"
"騎兵","きへい","cavalry, cavalryman, trooper"
"万年","まんねん, よろずとせ","ten thousand years, eternity; perennial, perpetual"
"瓶","びん, ビン","bottle, jar, decanter, flagon, phial, vial"
"諭す","さとす","to make (someone) understand (a fault, mistake, etc.), to reason with, to advise, to try to persuade, to exhort, to admonish, to warn (against doing)"
"千切れる","ちぎれる","to be torn off, to come off; to be torn to pieces, to be torn to shreds"
"総長","そうちょう","president (of a university), vice-chancellor, chancellor; secretary-general, director; leader (esp. of a biker gang)"
"頼もしい","たのもしい","reliable, dependable, trustworthy, reassuring; hopeful, promising"
"水","みず","water (esp. cool or cold); fluid (esp. in an animal tissue), liquid; flood, floodwaters; water offered to wrestlers just prior to a bout; break granted to wrestlers engaged in a prolonged bout"
"弁護","べんご","defense, defence, pleading, advocacy"
"居酒屋","いざかや","izakaya, tavern, bar, etc. that also serves various dishes and snacks"
"詰め込む","つめこむ","to cram, to stuff, to jam, to squeeze, to pack, to crowd"
"下半身","かはんしん, しもはんしん","lower half of the body, nether parts"
"愛しい","いとしい","lovely, dear, beloved, darling, dearest; pitiable, pitiful"
"容姿","ようし","(physical) appearance (of a person), one's face and figure"
"機構","きこう","mechanism, machinery; system, structure, organization, framework"
"理科","りか","science (inc. mathematics, medicine, etc.), natural science; science department (university), science course; science (as a school subject)"
"","ゴロゴロ, ごろごろ, ゴロンゴロン, ごろんごろん","rumbling (of thunder, one's stomach, etc.), grumbling, growling, purring; rolling (of something large and heavy), tumbling; all over the place, everywhere, commonly, in great numbers; idly, lazily, slothfully; (uncomfortable feeling of) having a foreign substance in one's eye, stomach, etc.; thunder"
"荒木","あらき","logs in bark, rough wood, unseasoned timber, new lumber"
"良かったら","よかったら","if you like"
"公式","こうしき","official, formal; formula (e.g. mathematical); official (social media) account (of a company, organization, etc.)"
"主力","しゅりょく","main force, chief object, mainline"
"注射","ちゅうしゃ","injection, jab, shot"
"利子","りし","interest (on a deposit, loan, etc.)"
"土耳古","トルコ","Turkey, Türkiye; turquoise"
"訳す","やくす","to translate, to interpret"
"快活","かいかつ","cheerful, lively, lighthearted"
"悪寒","おかん","chill, shakes, ague"
"為す","なす","to do, to commit, to carry out, to bring about"
"道徳","どうとく","morals, morality"
"名声","めいせい","fame, reputation, renown"
"家畜","かちく","domestic animals, livestock, cattle"
"放課後","ほうかご","after school (at the end of the day)"
"祈祷","きとう","prayer, grace (at meals); exorcism"
"将棋","しょうぎ","shogi, Japanese chess"
"堤","つつみ","bank, embankment, dike"
"鱗","うろこ, こけ, こけら, ウロコ","scale (of fish, snake, etc.); serif (on kana or kanji (e.g. in Mincho font))"
"","ホワイト","white; correction fluid, white-out"
"碼","ヤード","yard (unit of distance)"
"体温","たいおん","body temperature"
"逆転","ぎゃくてん","reversal (of a situation), turnaround, turnabout, turning the tables, sudden change; reversal (of direction of rotation)"
"内臓","ないぞう","internal organs, viscera"
"錆びる","さびる","to rust, to become rusty"
"千代","ちよ","thousand years; very long period, forever"
"一様","いちよう","uniform, equal, even, the same, identical; common, ordinary, usual"
"吋","インチ","inch"
"議会","ぎかい","congress, parliament, diet, legislative assembly"
"光栄","こうえい","honour, honor, glory, privilege"
"取り残す","とりのこす","to leave behind"
"半日","はんにち, はんじつ","half day"
"","ファイル","file (for holding papers); file (collection of documents), filing, keeping on file; file"
"容器","ようき","container, receptacle, vessel, packaging"
"","クラスメイト, クラスメート, クラス・メイト, クラス・メート","classmate"
"会見","かいけん","interview, audience, meeting, (viewing) party"
"気性","きしょう","disposition, temperament, temper, nature"
"硝子","ガラス","glass, pane"
"馬穴","バケツ","bucket, pail"
"黄昏","たそがれ, こうこん","dusk, twilight; twilight years; melancholia, melancholic nostalgia"
"意義","いぎ","meaning, significance"
"船体","せんたい","hull"
"笹","ささ, ササ","bamboo grass, generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.)"
"あの世","あのよ","the other world, the next world, the world beyond, world after death"
"硫黄","いおう, ゆおう","sulfur (S), sulphur"
"豆腐","とうふ","tofu, bean curd, beancurd"
"書店","しょてん","bookshop, bookstore"
"右足","みぎあし, うそく","right foot; right leg"
"加","か","addition; Canada"
"鼓舞","こぶ","encouragement, inspiration, rousing, stirring up, raising (e.g. morale)"
"王朝","おうちょう","dynasty"
"根本的","こんぽんてき","fundamental, basic"
"本家","ほんけ","head house, main family; founder (of a certain school, style, etc.), originator, birthplace"
"種々","しゅじゅ, くさぐさ","various, a variety of, all kinds of, many, diverse"
"鯉","こい, コイ","common carp (Cyprinus carpio), koi carp"
"交通","こうつう","traffic, transportation, communication, exchange (of ideas, etc.), intercourse"
"義父","ぎふ","father-in-law; foster father; stepfather"
"攻略","こうりゃく","capture (of enemy territory), taking (by storm), conquest, attack, assault; defeating (an opponent); attacking (a problem) strategically; strategy, tactics, walkthrough, guide"
"","ヒント","hint, clue"
"","シャッター, シャッタ, シヤッター, シヤッタ","(camera) shutter; shutter (for a door, window, etc.)"
"方式","ほうしき","form, method, system, formula"
"絵画","かいが","painting, picture"
"校庭","こうてい","schoolyard, school playground, school grounds, campus"
"受け継ぐ","うけつぐ","to inherit, to succeed, to take over"
"胸中","きょうちゅう","one's heart, one's mind, one's intentions"
"嘘つき","うそつき, ウソつき","liar, fibber; lying"
"人事","じんじ","personnel affairs, human affairs, human resources, HR"
"見習う","みならう","to follow (someone's) example, to imitate, to copy, to pattern oneself on; to learn (by observation)"
"移送","いそう","transfer, transport, transportation"
"月日","がっぴ","month and day (of the year), (the) date"
"人参","にんじん, ニンジン","carrot (Daucus carota); Asian ginseng (Panax ginseng)"
"前半","ぜんはん, ぜんぱん","first half"
"乗組員","のりくみいん","crew (of a ship, airplane, etc.), crew member"
"","ノブ, ノッブ","knob; doorknob"
"診察","しんさつ","medical examination, checkup, consultation"
"小刻み","こきざみ","mincing, chopping finely; short and repeated (movements; e.g. trembling, quick steps); gradual, bit by bit, little by little"
"着地","ちゃくち","landing"
"本棚","ほんだな","bookshelves, bookshelf, bookcase"
"如何","どう","how, in what way, how about"
"","フィールド","field; field, meadow; field (of interest, study, etc.); field; field (in a form, web page, etc.), blank"
"画像","がぞう","image, picture, portrait"
"反動","はんどう","reaction, recoil, kick, backlash"
"落語","らくご","rakugo, traditional Japanese comic storytelling, comic story (told by a professional storyteller)"
"仕入れる","しいれる","to buy (stock, materials, etc.), to purchase, to lay in, to stock, to procure; to get, to obtain"
"思いっきり","おもいっきり","to one's heart's content, as much as one wants, as hard as one can, with all one's strength, to the best of one's ability, to the utmost, with determination, hard, heavily; resolution, decisiveness, determination, resignation"
"睡眠","すいみん","sleep"
"電灯","でんとう","electric light"
"本体","ほんたい","substance, true form, true character; main part, main unit, body (of a machine); object of worship (at a shrine, temple, etc.); noumenon; base price, pre-tax price"
"労る","いたわる","to pity, to sympathize with, to sympathise with, to treat with sympathy, to console, to be kind to; to tend to (e.g. an injury), to care for, to nurse, to soothe; to appreciate, to recognize (someone's efforts), to reward for"
"","ふわり, ふうわり, ふーわり","softly, gently, lightly"
"最強","さいきょう","strongest"
"怠る","おこたる","to neglect, to be negligent in, to be neglectful of, to fail to do, to leave undone, to avoid (doing), to shirk, to be unmindful of; to improve (of an illness), to get better"
"商店","しょうてん","shop, store, firm"
"お手伝い","おてつだい","maid, helper; help, assistance"
"","レーダー, レーダ","radar"
"基準","きじゅん","standard, criterion, norm, benchmark, measure, gauge, basis"
"警察署","けいさつしょ","police station"
"","びっしり, ビッシリ","closely (packed, lined up, etc.), tightly, densely; (work) sufficiently"
"官僚","かんりょう","bureaucrat, government official, bureaucracy"
"主役","しゅやく","leading part, leading actor, leading actress"
"暗号","あんごう","code, password, cipher"
"平均","へいきん, へいぎん","average, mean; balance, equilibrium"
"部活","ぶかつ","club activities, extracurricular activities"
"過ち","あやまち","fault, error, indiscretion, faux pas"
"人通り","ひとどおり","pedestrian traffic"
"本質的","ほんしつてき","essential, substantial, substantive, intrinsic"
"正解","せいかい","correct answer, right solution, correct interpretation; right decision, right choice, appropriate judgement"
"軽やか","かろやか, かるやか","light, easy, non-serious, minor"
"無闇に","むやみに","thoughtlessly, recklessly, rashly, indiscriminately, indiscreetly, at random; excessively, unreasonably, immoderately, absurdly"
"夕飯","ゆうはん, ゆうめし","evening meal, dinner, supper"
"","プライド","pride, dignity, self-worth"
"形跡","けいせき","traces, evidence"
"同感","どうかん","same feeling, same sentiment, same opinion, sympathy, agreement, concurrence"
"急行","きゅうこう","hurrying (to somewhere), rushing, hastening; express (train)"
"投稿","とうこう","contribution (to a newspaper, magazine, etc.), submission, post (on a blog, social media, etc.)"
"宵","よい","evening, early night hours"
"酸素","さんそ","oxygen (O)"
"醤油","しょうゆ, しょうゆう","soy sauce, soya sauce, shoyu"
"城主","じょうしゅ","lord of a castle"
"北部","ほくぶ","northern part, the north (of a region)"
"財","ざい","fortune, riches; goods; incorporated foundation"
"揺るぐ","ゆるぐ","to shake, to waver, to tremble"
"費やす","ついやす","to spend, to expend, to consume; to waste, to squander, to throw away; to devote"
"車両","しゃりょう","rolling stock, wheeled vehicle, railroad car"
"雨戸","あまど","sliding storm shutter"
"","ビニール, ビニル, バイナル, ヴァイナル","vinyl, plastic; vinyl record"
"技術者","ぎじゅつしゃ","engineer, technical expert, technician, craftsperson"
"楽屋","がくや","dressing room, green room, backstage; behind the scenes, the inside, inside affairs"
"息吹","いぶき","breath; sign (of something new and fresh), breath (of spring, fresh air, etc.), vitality"
"兄ちゃん","にいちゃん, あんちゃん","(one's) older brother; young man, sonny, lad"
"懸念","けねん","worry, fear, anxiety, concern"
"","きっぱり, キッパリ","clearly, plainly, distinctly, decisively, flatly, definitely, resolutely"
"映し出す","うつしだす","to project, to show (on a screen), to reflect (of a mirror, lake, etc.); to portray, to depict, to describe; to reflect (the times, mood, etc.)"
"一年間","いちねんかん","(period of) one year"
"途絶える","とだえる","to stop, to cease, to come to an end, to cut off"
"脅威","きょうい","threat, menace"
"遂行","すいこう","accomplishment, execution"
"飲み物","のみもの","drink, beverage"
"空母","くうぼ","aircraft carrier"
"学生時代","がくせいじだい","student days"
"大使館","たいしかん","embassy"
"少数","しょうすう","small number, few, minority"
"砲撃","ほうげき","bombarding, shelling, bombardment"
"数千","すうせん","thousands, several thousand"
"背が高い","せがたかい","tall (of a person)"
"ガラス戸","ガラスど","glass door"
"輸入","ゆにゅう, しゅにゅう","import, importation, introduction; afferent"
"主要","しゅよう","chief, main, principal, major"
"直面","ちょくめん","confrontation; to face, to confront, to encounter"
"車体","しゃたい","body (of car), frame"
"優先","ゆうせん","preference, priority, precedence"
"避難","ひなん","taking refuge, finding shelter, evacuation, escape, seeking safe haven"
"映画館","えいがかん","movie theatre, movie theater, cinema"
"通夜","つや, つうや","all-night vigil over a body, wake"
"名称","めいしょう","name, title"
"目玉","めだま","eyeball; special feature, centerpiece, showpiece, drawcard; special program, loss leader; sunny-side up fried egg"
"素早い","すばやい","quick, swift, nimble, agile; quick (understanding, judgement, etc.), alert, prompt"
"","パワー","power"
"真正面","ましょうめん, まっしょうめん","directly opposite, right in front"
"隅々","すみずみ","every corner, every nook and cranny, all the ins and outs"
"オレンジ色","オレンジいろ","orange (colour, color)"
"繋ぐ","つなぐ","to connect, to link together; to tie, to fasten, to restrain; to maintain, to preserve, to keep; to transfer (phone call), to put a person through; to hedge, to buy or sell forward"
"石垣","いしがき, いしがけ","stone wall"
"必死になって","ひっしになって","desperately, for one's dear life"
