"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"日常","にちじょう","everyday, daily, ordinary, usual, routine, regular"
"施す","ほどこす","to give (time, money, goods), to donate; to do, to perform, to conduct; to apply (processing, makeup, etc.), to add (e.g. ornamentation, annotation); to sow, to seed, to scatter (e.g. fertilizer), to sprinkle; to spread far and wide"
"小僧","こぞう","youngster, boy, kid, brat; young Buddhist monk, young bonze; young shop-boy, errand boy, apprentice"
"薄暗い","うすぐらい","dim, gloomy"
"大して","たいして","(not) very, (not) so, (not) very much, (not) particularly, (not) especially"
"美味しい","おいしい, オイシイ","good(-tasting), nice, delicious, tasty; attractive (offer, opportunity, etc.), appealing, convenient, favorable, desirable, profitable"
"無意識","むいしき","unconsciousness; unconscious, involuntary, automatic, mechanical, unintentional, spontaneous; the unconscious"
"契約","けいやく","contract, compact, agreement"
"住所","じゅうしょ","address, residence, domicile"
"引き返す","ひきかえす","to turn back, to go back, to come back, to return, to retrace one's steps"
"看板","かんばん","signboard, sign, billboard, hoarding, doorplate; draw, attraction, feature, highlight, spokesman, figurehead; reputation (of a shop), name; appearance, look, show; closing (for the day, esp. of a restaurant or bar), closing time"
"筆","ふで, ひつ","writing brush, paintbrush, pen; writing with a brush, drawing with a brush, penmanship, something drawn with a brush; writing (composing text), the written word; (land) lot, plot"
"拭く","ふく","to wipe, to dry"
"授業","じゅぎょう","lesson, class, teaching, instruction, classwork, schoolwork"
"","ペン","pen"
"映像","えいぞう","image (on a screen), picture (e.g. on a TV); video, film, footage; reflection; image (in one's mind), mental picture"
"間違える","まちがえる","to make a mistake (in), to commit an error, to get wrong, to do incorrectly; to mistake (one thing for another), to confuse"
"倍","ばい","double, twice (as much); times (as much), -fold; 1-nth, 1 to n, 1 in n"
"","スカート","skirt"
"時点","じてん","point in time, occasion"
"大体","だいたい","generally, on the whole, mostly, almost, nearly, approximately, roughly, about; general, rough; outline, main points, gist, substance, essence; in the first place, first and foremost, from the start, to begin with"
"要","かなめ","pivot; vital point, cornerstone, keystone; Japanese photinia"
"","パーセント","percent, per cent, percentage"
"数日","すうじつ","few days"
"浪人","ろうにん","ronin, masterless samurai; high school graduate waiting for another chance to enter university after having failed the yearly entrance examination; person out of work, jobless person; wanderer, drifter"
"醜い","みにくい","ugly, unattractive, bad-looking; unsightly, unseemly, disgraceful, shameful, dishonorable"
"打ち明ける","うちあける","to confide, to reveal, to disclose, to lay bare, to speak frankly, to open (one's heart)"
"理屈","りくつ","theory, reason, logic; (unreasonable) argument, strained logic, excuse, pretext"
"","ビラ, ヴィラ","villa, holiday house"
"見渡す","みわたす","to look out over, to survey (scene), to take an extensive view of"
"尼","あま, アマ","Buddhist nun; Catholic nun, sister; bitch; Amagasaki (city in Hyogo Prefecture); Amazon (online retailer)"
"成立","せいりつ","formation, establishment, materialization, coming into existence; conclusion (e.g. of a deal), reaching (e.g. an agreement), approval, completion, closing, enacting, arrangement; being valid (of a theory, argument, etc.), holding, applying"
"出身","しゅっしん","one's origin (e.g. city, country, parentage, school)"
"挟む","はさむ","to hold between (e.g. one's fingers, chopsticks), to grip (from both sides); to put between, to sandwich between, to insert, to interpose; to catch (e.g. a finger in a door), to trap, to pinch; to insert (e.g. a break into proceedings), to interpose (e.g. an objection), to interject, to throw in (e.g. a joke); to be on either side of (a road, table, etc.), to have between each other, to be across (a street, river, etc.); to harbour (feelings), to cast (e.g. doubt)"
"当たり前","あたりまえ, あたりめー, あたりめえ, あったりめー","natural, reasonable, obvious; usual, common, ordinary, commonplace, the norm"
"旅館","りょかん","ryokan, traditional Japanese inn"
"員","いん","member"
"片付ける","かたづける","to put in order, to tidy up, to clean up, to put away, to clear away; to settle (a matter), to solve, to deal with, to dispose of; to finish, to get through, to complete, to get (something) done; to marry off (one's daughter); to do away with (someone), to bump off, to kill, to eliminate"
"只管","ひたすら","intently, single-mindedly, devotedly, solely, earnestly, with all one's heart"
"動","どう","motion"
"世話","せわ","care, looking after, help, assistance, aid; trouble, bother; good offices, recommendation, introduction; everyday life, everyday affairs, everyday language; sewamono (Edo-period drama about contemporary life)"
"畳む","たたむ","to fold (clothes, umbrella); to close (a shop, business); to vacate"
"数人","すうにん","several people, a few people"
"固める","かためる","to harden, to freeze, to strengthen, to solidify, to make (a fist), to tramp down (snow, dirt); to put together, to collect, to gather, to consolidate; to make secure, to stabilize, to settle down, to strengthen (belief, resolution, etc.), to establish (evidence); to fortify, to reinforce, to support; to wear for a specific purpose (armor, coat, etc.); to swear, to resolutely vow, to sincerely promise; to tie tightly, to fasten; to hold a bow fully drawn"
"強烈","きょうれつ","strong, intense, severe"
"巡査","じゅんさ","police officer, policeman, constable"
"成るべく","なるべく","as (much) as possible, as (much) as one can, wherever practicable, if possible"
"ご覧","ごらん","(please) try to; (please) look; seeing, looking, watching"
"帝","みかど, ごもん","emperor (of Japan), mikado; (the gates of an) imperial residence"
"把握","はあく","grasp (of the situation, meaning, etc.), understanding, control, hold, grip"
"仰ぐ","あおぐ","to look up (at); to look up to, to respect, to revere; to ask for (e.g. guidance), to seek, to turn to (someone) for; to depend on, to rely on; to gulp down, to quaff, to drink"
"鮮やか","あざやか","vivid, bright, brilliant, clear, fresh, vibrant; skillful, skilful, adroit, brilliant (performance, goal, etc.), splendid, superb, magnificent, fine"
"雇用","こよう","employment, hire"
"黒字","くろじ","(being in) the black, surplus; black letter"
"都","みやこ","capital (esp. Kyoto, Japan's former capital), seat of government; capital (of music, fashion, etc.), city (e.g. of light); location of the Imperial Palace"
"来日","らいにち","coming to Japan, visit to Japan, arrival in Japan"
"伸び","のび, ノビ","growth, development; stretching (one's body, e.g. when waking up); (ability to) spread (of paint, cream, etc.); elongation, extension, carry (e.g. of sound), sustain"
"下落","げらく","depreciation, decline, fall, slump"
"介護","かいご","nursing, care, caregiving, caring"
"収賄","しゅうわい","accepting a bribe"
"取り扱い","とりあつかい","treatment, service, handling, management"
"産業界","さんぎょうかい","the industrial world"
"宿","やど","lodging, inn, hotel; house, home, dwelling; home of a servant's parents (or guarantor, etc.)"
"乗り","のり, ノリ","riding, ride; spread (of paints); -seater (e.g. two-seater); (getting into the) mood, (entering into the) spirit, energy, enthusiasm, rhythm, feeling"
"誤って","あやまって","in error, by mistake, by accident, accidentally"
"別れ","わかれ","parting, separation, farewell"
"押し","おし","push, pushing; weight, pressure; authority, forcefulness, boldness, audacity, persistence; to forcibly ..., to strongly ..."
"戦場","せんじょう","battlefield, battleground"
"校則","こうそく","school rules, school regulations"
"霊","れい","soul, spirit, departed soul, ghost"
"綱","つな","rope, cord, line; grand champion's braided belt"
"強み","つよみ","forte, strong point"
"社会学","しゃかいがく","sociology"
"予防接種","よぼうせっしゅ","vaccination, inoculation, immunization, immunisation"
"荷","に","load, baggage, cargo, freight, goods; burden, responsibility"
"入場券","にゅうじょうけん","admission ticket, entrance ticket; platform ticket, ticket allowing a non-traveller access to a railway station platform"
"空き","あき","space, room, gap, emptiness; vacancy, opening, empty seat; free time, time to spare; disuse, unused thing"
"授業料","じゅぎょうりょう","tuition fee, course fee"
"選挙権","せんきょけん","suffrage, right to vote"
"展示会","てんじかい","exhibition"
"主食","しゅしょく","staple food"
"流し","ながし","sink (e.g. in a kitchen); cruising (e.g. taxi), strolling (entertainer, musician, etc.); washing area (in a Japanese-style bath); back-washing service (in a public bath); floating (something on water), setting adrift, washing away"
"書留","かきとめ","registered mail, registered post, registration (of mail); (putting on) record, writing down, noting down, registry"
"市民権","しみんけん","citizenship, civic rights, civil rights; widespread acceptance, social recognition, common use"
"償い","つぐない","recompense, indemnity, atonement"
"白鳥","はくちょう, ハクチョウ","swan (Cygnus spp.); white bird"
"増進","ぞうしん","promoting, increase, advance"
"論評","ろんぴょう","comment, criticism, critique, review"
"持ち込み","もちこみ","bring-your-own (e.g. food and drink), carry-on (e.g. luggage)"
"嘆き","なげき","grief, lamentation"
"雨季","うき","rainy season"
"氷山","ひょうざん","iceberg"
"残らず","のこらず","all, entirely, completely, without exception"
"お話中","おはなしちゅう","busy (phone)"
"出迎え","でむかえ","meeting, reception"
"別問題","べつもんだい","different thing, another question, different case"
"払い","はらい","payment, bill, account; sweeping, clearing away; sweeping stroke (e.g. when writing kanji)"
"日増しに","ひましに","day by day"
"議事","ぎじ","proceedings (e.g. parliament, congress), business (of the day)"
"装う","よそおう","to dress (oneself in), to attire oneself in, to adorn, to decorate; to pretend, to feign, to affect, to disguise oneself as"
"掃除機","そうじき","vacuum cleaner, vacuum, hoover; cleaning device"
"創造力","そうぞうりょく","creative power, creativity"
"妨げ","さまたげ","obstruction, hindrance"
"雨天","うてん","rainy weather"
"前払い","まえばらい","payment in advance, advance payment, prepayment"
"科する","かする","to inflict, to impose (a fine, etc.)"
"写し","うつし","copy, duplicate, facsimile, transcript"
"大当たり","おおあたり","great success, big hit, smash hit, winner; (hitting the) jackpot, big win; being right on the mark (of a prediction), being bang on, hitting the nail on the head; bumper crop; excellent hitting"
"生け花","いけばな, せいか","ikebana, Japanese art of flower arrangement; fresh flower, natural flower"
"逆境","ぎゃっきょう","adverse circumstances, unfortunate situation, adversity"
"雛","ひよこ, ひよっこ, ヒヨコ","young bird, chick, fledgling; greenhorn, fledgeling, novice, rookie"
"本校","ほんこう","main school, principal school; this school, our school"
"実用的","じつようてき","practical, useful, utilitarian, pragmatic"
"物音","ものおと","noise, sound"
"目上","めうえ","superior, superiors, senior"
"足し算","たしざん","addition"
"乾かす","かわかす","to dry (clothes, etc.), to desiccate"
"隙","すき","gap, opening, room, space; break, interval, spare moment, spare time; unguarded moment, carelessness, weak spot, chink in one's armor, flaw, fault; chance, opportunity"
"憧れ","あこがれ","yearning, longing, aspiration, adoration, admiration"
"ひと時","ひととき, いっとき","a (short) time, a while, moment; one time (in the past), a period, former times; two-hour period"
"子羊","こひつじ","lamb"
"４時","よじ","four o'clock"
"お手洗い","おてあらい","toilet, restroom, lavatory, bathroom"
"によって異なる","によってことなる","to differ depending on ..."
"見せ掛け","みせかけ","seeming, pose, show, pretense, sham, mock"
"社交的","しゃこうてき","sociable"
"書き取る","かきとる","to write down (what someone says), to take down dictation, to take notes (e.g. of a lecture); to copy out (a text)"
"赤面","せきめん","blushing, getting red in the face; embarrassment"
"電子メール","でんしメール","email, e-mail, electronic mail"
"禿げる","はげる, ハゲる","to lose hair, to become bald; to become bare (e.g. a mountain becomes bare of trees)"
"病","やまい","illness, disease; bad habit, weakness, fault"
"毎","まい","every (usu. with events, e.g. every weekend), each"
"綿","めん","cotton"
"料","りょう","fee, charge, rate; material"
"露","つゆ","dew; tears; (not) a bit, (not) at all"
"気味","ぎみ","-like, -looking, -looked, tending to ..."
"旅行会社","りょこうがいしゃ","travel agent, travel agency"
"正面","まとも","the front; honest, upright, decent, proper, respectable, straight, serious, sensible"
"","クレジット","credit"
"","テニスコート, テニス・コート","tennis court"
"","パーマ","perm (hairstyle), permanent wave"
"","ベビーシッター, ベビー・シッター, ベイビーシッター, ベビーシッタ, ベビシッター, ベービーシッター","babysitter"
"珍紛漢紛","ちんぷんかんぷん, チンプンカンプン","unintelligible language, incoherent language, talking nonsense, babble, gibberish, jargon, gobbledygook"
"","でしかない","is nothing but, is nothing more than, is only, is no more than"
"電気","でんき","electricity; (electric) light"
"直前","ちょくぜん","just before, just prior to; right in front of, just in front of"
"超","ちょう, チョー","super-, ultra-, hyper-, extreme; extremely, really, totally, absolutely; over, more than"
"烏賊","イカ, いか","cuttlefish, squid"
"印度","インド","India"
"侵入","しんにゅう","invasion, incursion, raid, aggression, intrusion, trespass, penetration, hacking"
"間に合う","まにあう","to be in time (for); to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do"
"背く","そむく","to run counter to, to go against, to disobey, to infringe"
"両腕","りょううで, もろうで","both arms"
"瞼","まぶた, まなぶた","eyelid"
"煩い","うるさい, ウルサイ","noisy, loud; annoying, troublesome, tiresome, persistent, importunate; fussy, finicky, picky, particular, nagging, fastidious, bossy; shut up, be quiet"
"あれ程","あれほど","to that extent"
"環境","かんきょう","environment, surroundings, circumstances"
"引き出す","ひきだす","to pull out, to take out, to draw out; to lead out (e.g. a horse from a stable), to summon (e.g. to court), to bring (e.g. someone to the negotiating table), to drag; to withdraw (money), to draw; to bring out (talent, potential, beauty, flavour, etc.), to extract (information, the truth, etc.), to get (e.g. an answer out of someone), to obtain (e.g. a result), to elicit, to draw (a conclusion), to derive (e.g. pleasure); to get (money) out of someone, to coax out of someone, to get someone to pay, to make someone produce (funds)"
"兄貴","あにき, アニキ","elder brother; one's senior; older man, man older than oneself"
"書物","しょもつ","book, volume"
"稽古","けいこ","practice, practising, training, study"
"大量","たいりょう","large quantity, massive (quantity), mass (e.g. mass production, mass transit, mass destruction)"
"路地","ろじ","alley, alleyway, lane; path through a gate or garden; teahouse garden"
"取り上げる","とりあげる","to pick up; to adopt (a proposal), to take up (a topic), to accept, to listen to; to take issue with, to make a problem of, to bring up (as a point of criticism); to report (news), to cover, to feature; to take away, to confiscate, to deprive (someone) of, to revoke, to disqualify, to cancel; to deliver (a baby); to collect (taxes)"
"先頭","せんとう","head (of a line, group, etc.), front, lead, forefront, vanguard"
"遠ざかる","とおざかる","to go away, to become more distant, to fade away, to die away; to be estranged"
"蜘蛛","くも, ちちゅ, ちちゅう, ちしゅ, クモ","spider"
"舞","まい","dancing, dance"
"","のんびり, ノンビリ","at leisure, in a relaxed manner, in a carefree manner, quietly, peacefully"
"使者","ししゃ","messenger, envoy, emissary"
"","スター, スタア","star (actor, athlete, etc.), celebrity; star (symbol), asterisk; (celestial) star"
"滲む","にじむ","to run (of liquid), to spread, to bleed, to blot; to blur, to blot, to be blurred; to ooze, to well up (of tears, etc.); to show through (of feelings, emotions, etc.), to reveal itself"
"整理","せいり","sorting, arrangement, organization, putting in order, adjustment, regulation; liquidation, settlement, consolidation, clearance (e.g. debt), paying off; retrenchment, curtailment, cutting down, disposal"
"一つ一つ","ひとつひとつ","one-by-one, separately, in detail"
"次々に","つぎつぎに","one by one, one after another, successively"
"下記","かき","the following"
"翌朝","よくあさ, よくちょう","next morning"
"軟化","なんか","softening; softening (of attitude), mollification; weakening (of the market); blanching (of vegetables; by depriving them of light)"
"未だ未だ","まだまだ","still, much more, (not) yet; still a long way to go, still a long way off, not there yet"
"飲み込む","のみこむ","to swallow, to gulp down; to understand, to grasp, to take in, to catch on, to learn; to engulf, to swallow up; to be filled with (people), to contain; to swallow (one's words), to suppress (a yawn, tears, etc.), to stifle, to hold back"
"情","じょう","feelings, emotion, sentiment; compassion, sympathy; passion, affection, love; the way things really are, the actual situation"
"特殊","とくしゅ","special, particular, peculiar, unique"
"","レストラン","restaurant (esp. Western-style)"
"職業","しょくぎょう","occupation, profession, job, vocation, trade, calling, business"
"福","ふく","good fortune, happiness, blessing, good luck"
"裂ける","さける","to split, to tear, to burst, to be separated, to be divided"
"機体","きたい","fuselage, airframe"
"欠ける","かける","to chip, to be chipped, to break (off), to be damaged; to be missing (from a set, team, etc.), to be absent, to become lost; to be lacking (in), to be short (of), to be deficient, to be wanting (in); to wane (of the moon), to go into eclipse"
"正月","しょうがつ","New Year (esp. first three days); first month of the year, January"
"謳う","うたう","to extol, to sing the praises of, to celebrate; to declare, to stipulate, to express, to state, to insist"
"","チーム, ティーム","team"
"名誉","めいよ","honor, honour, credit, glory, fame, distinction; prestige, dignity, reputation, honor, good name; honorary (e.g. president, doctorate)"
"紐育","ニューヨーク, ニュー・ヨーク","New York"
"大名","だいみょう","daimyo (Japanese feudal lord)"
"","ロッド","rod, pole, stick; fishing rod"
"","でかい, でっかい, デカイ, デカい, デッカい, でけえ, でっけえ, でけー, でっけー, でけぇ, でっけぇ","huge, big, gargantuan"
"枕","まくら","pillow, bolster; introduction (e.g. to a rakugo story), lead-in"
"憧れる","あこがれる","to long for, to yearn for, to hanker after, to be attracted by, to be drawn to, to aspire to, to admire, to adore"
"","となれば","where ... is concerned, when it becomes, if it becomes"
"運","うん","fortune, luck, chance"
"法外","ほうがい","exorbitant, outrageous, ridiculous, absurd, excessive, inordinate, extravagant, immoderate"
"崩す","くずす","to destroy, to demolish, to pull down, to tear down, to level; to disturb, to put into disorder, to throw off balance, to make shaky; to relax (one's pose), to make oneself at ease; to break (a bill), to change, to make change; to write in cursive style, to write in running style; to break into a smile, to let off a smile; to lower (a price)"
"鍋","なべ","pan, pot, saucepan; stew, hot pot"
"笛","ふえ, ちゃく","flute, fife, pipe, recorder, flageolet, shakuhachi, clarinet; whistle"
"滅多に","めったに","rarely, seldom"
"哀れ","あわれ, あはれ","pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable; alack, alas"
"皺","しわ, シワ","wrinkle, crease; ripple"
"思い切る","おもいきる","to give up all thoughts of, to abandon, to despair of; to make up one's mind, to take a momentous decision"
"屋上","おくじょう","rooftop"
"露西亜","ロシア, ロシヤ","Russia"
"足元","あしもと","at one's feet, underfoot, one's step (as in ""watch your step""); gait, pace, step; most recent, current"
"油断","ゆだん","negligence, carelessness, inattention, unpreparedness"
"演じる","えんじる","to act (a part), to play (a role); to perform (a play, etc.), to put on (a production); to commit (e.g. a blunder), to disgrace oneself, to do something conspicuously, to make a scene; to pretend (e.g. to be a good father)"
"横切る","よこぎる","to cross (e.g. road), to traverse"
"役目","やくめ","duty, role, function"
"臭い","くさい, くせー, くっせー","stinking, smelly; suspicious, fishy; hammy (acting), over-the-top, cheesy; clumsy, unskilled; (overly) gamey, strong-tasting; smelling of; looking like, appearing like, smacking of, -ish"
"","さっぱり","feeling refreshed, feeling relieved; neat, tidy, clean; frank, open-hearted, plain, simple, light; completely, entirely; not in the least (with neg. verb), not at all; nothing at all, completely useless, hopeless, awful"
"彼是","あれこれ, かれこれ, ひし, アレコレ","this and that, this or that, one thing or another, this way and that; around, about, round about, roughly, nearly, almost"
"親戚","しんせき","relative, relation, kin"
"両側","りょうがわ, りょうそく","both sides"
"やり取り","やりとり","giving and taking, exchange (of letters), arguing back and forth, (conversational) exchange"
"情熱","じょうねつ","passion, enthusiasm, zeal"
"四方","しほう, よも, よほう","the four cardinal directions, north, east, south and west, all directions; surroundings; many countries, the whole world; all around, here and there; square, quadrilateral, four-sided figure; four sides (of a square)"
"銀座","ぎんざ","Ginza (district in Tokyo); busy shopping district, bustling location; silver mint (Edo period)"
"冷える","ひえる","to grow cold (from room temperature, e.g. in refrigerator), to get chilly, to cool down"
"","ヤクザ, やくざ","(member of the) yakuza, gangster, mobster; hoodlum, racketeer, gambler; useless, worthless, good-for-nothing, trashy"
"若しかして","もしかして","perhaps, possibly, maybe, by any chance, if I'm not mistaken; if, in case, in the event that"
"化粧","けしょう, けわい, けそう","make-up, makeup, cosmetics; decoration, dressing, veneer"
"接触","せっしょく","touch, contact, touching"
"景色","けしき, けいしょく","scenery, scene, landscape"
"尊い","とうとい, たっとい","precious, valuable, priceless; noble, exalted, sacred"
"年代","ねんだい","age, era, period, date"
"朝鮮","ちょうせん","Korea"
"目覚める","めざめる","to wake up, to awake; to awaken to (instinct, ability, perception, etc.), to become aware of, to become conscious of, to realize; to come to one's senses"
"共通","きょうつう","common, shared, mutual; to be common (to), to be shared (by); -wide"
"只今","ただいま","I'm home!, I'm back!, it's me!; now, at present, at the moment; just now, a moment ago; at once, right away, in a minute, shortly, soon"
"太る","ふとる","to put on weight, to gain weight, to grow fat, to get stout"
"帰国","きこく","return to one's country; return to one's hometown"
"純粋","じゅんすい","pure, true, genuine, unmixed"
"用心","ようじん","care, precaution, guarding, caution"
"接近","せっきん","getting closer, drawing nearer, approaching; being not much different, being near (age, skill, etc.); becoming close (i.e. friendly), becoming intimate"
"材料","ざいりょう","materials, ingredients; material (for a novel, experiment, etc.), subject matter; grounds (for a decision, judgement, etc.), basis, evidence, data; (market) factor"
"検事","けんじ","public prosecutor"
"一向に","いっこうに","completely, absolutely, totally; (not) at all, (not) a bit, (not) in the least; earnestly, intently, determinedly"
"","セックス","sex, sexual intercourse; (one's) sex, gender"
"琥珀","こはく","amber"
"目印","めじるし","mark (for quick identification or recognition), sign; landmark, guide; trademark"
"獲物","えもの","prey, catch, kill, game; spoils, trophy, loot, plunder"
"肥える","こえる","to grow fat, to gain weight, to put on weight; to grow fertile (of soil); to be discerning (of one's palate, eye, ear, etc.), to be discriminating, to be refined; to become rich, to become wealthy"
"上下","うえした","top and bottom, up and down, high and low, above and below, upper and lower ends; upside-down"
"何れ丈","どれだけ","how much, how many, to what extent"
"","ロック","lock; lock (in rugby), lock forward"
"長さ","ながさ","length"
"議論","ぎろん","argument, discussion, dispute, controversy"
"お腹","おなか","belly, abdomen, stomach"
"現に","げんに","actually, really"
"振舞う","ふるまう","to behave, to conduct oneself, to act; to treat (someone) to (food or drink), to entertain (e.g. to lunch)"
"筋肉","きんにく","muscle"
"犯行","はんこう","crime, criminal act, offence, offense"
"彼方","あちら, あっち, あち","that way, that direction, over there, yonder; that (one); that person; there, over there, foreign country (esp. a Western nation)"
"実現","じつげん","implementation (e.g. of a system), materialization, materialisation, realization, realisation, actualization, actualisation"
"推理","すいり","reasoning, inference, deduction; mystery genre, detective genre"
"管","かん, くだ","pipe, tube"
"染まる","そまる","to be dyed; to be tainted, to be infected, to be stained, to be steeped"
"松","まつ, マツ","pine tree (Pinus spp.); highest (of a three-tier ranking system)"
"両方","りょうほう","both, both sides, both parties"
"","かい, かえ","yes?, no?, isn't it?, is it?"
"通過","つうか","passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit; passage (of a bill, e.g. through parliament), carriage; passing (an examination, inspection, etc.), clearing, getting through (a preliminary round), qualification"
"薔薇薔薇","バラバラ, ばらばら","scattered, disperse, loose, disconnected, in pieces, in drops, rustling"
"本部","ほんぶ","headquarters, head office, main office"
"薪","まき, たきぎ","piece(s) of firewood (esp. chopped or split from logs); kindling (twigs, branches, etc.), firewood"
"任務","にんむ","duty, function, office, mission, task, role"
"強力","きょうりょく","powerful, strong"
"義理","ぎり","duty, sense of duty, honor, honour, decency, courtesy, debt of gratitude, social obligation; in-law, relation by marriage"
"許可","きょか","permission, approval, authorization, license"
"０","ゼロ","zero, 0, nought, nil; nothing, zilch"
"無くてはならない","なくてはならない","cannot do without something, indispensable, absolutely necessary; have to do"
"愉快","ゆかい","pleasant, delightful, enjoyable, joyful, cheerful, amusing, happy"
"替わる","かわる","to succeed, to relieve, to replace; to take the place of, to substitute for, to take over for, to represent, to hand over (telephone); to be exchanged, to change (places with), to switch"
"遺体","いたい","(dead) body, corpse, remains"
"君たち","きみたち","you (plural), all of you, you all"
"８０","はちじゅう, やそ","eighty, 80"
"","ハンカチ, ハンケチ","handkerchief"
"潮","しお, うしお","tide, current; sea water; opportunity, chance; thin soup of fish or shellfish boiled in seawater"
"お礼","おれい, おんれい","thanks, gratitude; manners, etiquette; bow; reward, gift; ceremony, ritual"
"漕ぐ","こぐ","to row, to paddle, to scull, to pull (the oars); to pedal (a bicycle, etc.); to swing (on a swing); to work (a hand pump); to push through (a thicket, deep snow, etc.)"
"撮影","さつえい","photography (still or motion), photographing, filming, shooting, (video) recording"
"仕草","しぐさ","gesture, movement, action, behavior, behaviour, bearing, mannerism; acting, performance"
"名刺","めいし","business card"
"外出","がいしゅつ, そとで","going out, outing, leaving (one's home, office, etc.)"
"訪問","ほうもん","call, visit"
"住居","じゅうきょ","dwelling, house, residence, address"
"何処までも","どこまでも","anywhere, for all time, to the ends of the earth; through thick and thin, come hell or high water, to the bitter end, to the utmost; persistently, stubbornly; in all respects, on every point; thoroughly, exhaustively"
"封筒","ふうとう","envelope"
"","ピストル","pistol"
"殺害","さつがい, せつがい, せちがい","killing, murder"
"仮面","かめん","mask; disguise, guise, mask"
"快い","こころよい","pleasant, agreeable, comfortable, refreshing"
"任","にん","obligation, duty, charge, responsibility"
"発揮","はっき","show (of power, ability, etc.), exhibition, demonstration, display, manifestation"
"男爵","だんしゃく","baron; Irish cobbler (variety of potato)"
"入院","にゅういん","hospitalization, hospitalisation"
"添える","そえる","to garnish, to accompany (as a card does a gift); to add to as support, to prop up; to accompany (as an aid, guide, translator, etc.); to mimic, to imitate; to draw something near to oneself, to approach nearby"
"常識","じょうしき","common sense, good sense, common knowledge, general knowledge, common practice, accepted practice, social etiquette"
"揃える","そろえる","to collect, to gather, to get together, to complete (a collection); to arrange, to put in order, to prepare, to get ready; to make uniform, to make even, to match"
"同僚","どうりょう","coworker, co-worker, colleague, associate"
"詰らない","つまらない, つまらねー","dull, uninteresting, boring, tedious; insignificant, unimportant, trifling, trivial, worthless; absurd, foolish, silly, stupid; useless, pointless, disappointing"
"殺人事件","さつじんじけん","murder case"
"地域","ちいき","area, region, district, locality"
"参謀","さんぼう","staff officer, military staff; adviser, counselor, counsellor"
"自覚","じかく","self-consciousness, self-awareness"
"連れてくる","つれてくる","to bring someone along"
"頑張って","がんばって","do your best, go for it, hang in there, keep at it"
"出版","しゅっぱん","publication"
"推測","すいそく","guess, conjecture"
"不明","ふめい","unclear, obscure, indistinct, uncertain, ambiguous; unknown, unidentified; ignorance, lack of wisdom, lack of insight"
"何度","なんど","how many times; how many degrees (temperature, angle, etc.)"
"科学","かがく","science; to think about scientifically, to think in terms of science"
"余所","よそ","another place, somewhere else, strange parts; outside (one's family or group), someone else, other people; not caring for, being indifferent to, taking little notice of, ignoring, neglecting"
"門下","もんか","one's pupil, one's student, one's follower"
"並","なみ","average, medium, common, ordinary; mid-grade (item), regular grade; same level as, equal to, equivalent to, on par with; each (e.g. month), every; row of (teeth, houses, etc.), line of"
"刺激","しげき","stimulus, stimulation, irritation (esp. of the body, e.g. skin, eyes); impetus, impulse, stimulus, spur, incentive, encouragement, stimulation, motivation, provocation; excitement, thrill"
"儀式","ぎしき","ceremony, rite, ritual, service"
"瓦斯","ガス","gas (as a fuel); gas (state of matter); poison gas; dense fog, thick fog; gas stove, gas cooker, gas range; gasoline, gas, petrol; flatulence, gas, wind, fart; gassed yarn"
"零す","こぼす","to spill, to drop, to shed (tears); to grumble (about), to complain (of); to let (one's feelings) show"
"経過","けいか","passage (of time), elapsing, lapse; progress, development, course (of events); transit"
"言い訳","いいわけ","excuse; explanation"
"","ノック","knock, knocking; fungo hitting, hitting balls for fielding practice; tap, click (e.g. of a retractable pen or mechanical pencil)"
"街道","かいどう","highway (esp. one existing from the Edo period), main road; highway (e.g. to success), path (to becoming ...); subdistrict (in China)"
"偉大","いだい","great, grand, magnificent, outstanding, mighty"
"金色","きんいろ, こんじき, きんしょく, かないろ","gold (colour, color)"
"網","あみ","net, netting; web"
"知恵","ちえ","wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenment)"
"初","はつ, うい","first, new"
"近頃","ちかごろ","lately, recently, nowadays; terribly, awfully, extremely"
"限界","げんかい","limit, bound"
"唾","つば, つばき","saliva, spit, spittle"
"文庫","ぶんこ","library, book collection; paperback book"
"横顔","よこがお","profile, face in profile, face seen from the side; (personal) profile, (biographical) sketch, outline (of someone's life)"
"追いつく","おいつく","to catch up (with), to draw level, to pull even, to reach; to be compensated, to make up for one's losses"
"書斎","しょさい","study, library, den, home office, reading room"
"壊れる","こわれる","to be broken, to break, to fall apart, to collapse, to be destroyed, to be damaged; to break (down), to stop working; to fall through (of a plan, deal, etc.), to collapse, to break down (of a relationship, negotiations, etc.), to be broken off, to be ruined (of an atmosphere, one's image, etc.)"
"通り過ぎる","とおりすぎる","to go past, to pass, to pass by"
"目撃","もくげき","witnessing, observing, sighting"
"房","ふさ","tuft (of hair, threads, etc.), fringe, tassel; bunch (of grapes, bananas, etc.), cluster (of flowers); segment (of a tangerine, etc.), section"
"照れる","てれる","to be shy, to be bashful, to feel awkward, to feel embarrassed"
"お仕舞い","おしまい","the end, closing, being done for; that's it, that's enough, that's all"
